,Well,Fluor,Target,Content,Sample,Cq,SQ
,A01,SYBR,citMin,Unkn,HO-Ci,15.4896763733041,NaN
,A02,SYBR,citMin,Unkn,HO-Ci,15.8002127309091,NaN
,A03,SYBR,citMin,Unkn,HO-Ci,15.4055440078068,NaN
,A04,SYBR,cit9,Unkn,HO-C9,16.7036105959246,NaN
,A05,SYBR,cit9,Unkn,HO-C9,16.6043512299245,NaN
,A06,SYBR,cit9,Unkn,HO-C9,17.0776972831242,NaN
,A07,SYBR,mCherry,Unkn,HO-Ci,14.6187628775644,NaN
,A08,SYBR,mCherry,Unkn,HO-Ci,15.2158000774583,NaN
,A09,SYBR,mCherry,Unkn,HO-Ci,14.9012740558598,NaN
,A10,SYBR,mCherry,Unkn,HO-C9,14.438523160151,NaN
,A11,SYBR,mCherry,Unkn,HO-C9,14.4261777645637,NaN
,A12,SYBR,mCherry,Unkn,HO-C9,15.0130089453651,NaN
,B01,SYBR,citMin,Unkn,HO-Ci,15.4434316768732,NaN
,B02,SYBR,citMin,Unkn,HO-Ci,15.7542301883455,NaN
,B03,SYBR,citMin,Unkn,HO-Ci,15.421633475462,NaN
,B04,SYBR,cit9,Unkn,HO-C9,16.446382129695,NaN
,B05,SYBR,cit9,Unkn,HO-C9,16.2661430807447,NaN
,B06,SYBR,cit9,Unkn,HO-C9,17.0004454105984,NaN
,B07,SYBR,mCherry,Unkn,HO-Ci,14.5460343396229,NaN
,B08,SYBR,mCherry,Unkn,HO-Ci,15.1108726030505,NaN
,B09,SYBR,mCherry,Unkn,HO-Ci,14.7091781003582,NaN
,B10,SYBR,mCherry,Unkn,HO-C9,14.7677754738593,NaN
,B11,SYBR,mCherry,Unkn,HO-C9,14.2696925554904,NaN
,B12,SYBR,mCherry,Unkn,HO-C9,15.0619003964908,NaN
,C01,SYBR,citMin,Unkn,HO-Ci,15.3681110538107,NaN
,C02,SYBR,citMin,Unkn,HO-Ci,15.6039959475625,NaN
,C03,SYBR,citMin,Unkn,HO-Ci,15.1135360002101,NaN
,C04,SYBR,cit9,Unkn,HO-C9,16.290937851578,NaN
,C05,SYBR,cit9,Unkn,HO-C9,16.1464652132952,NaN
,C06,SYBR,cit9,Unkn,HO-C9,16.7697654425706,NaN
,C07,SYBR,mCherry,Unkn,HO-Ci,14.4390217438342,NaN
,C08,SYBR,mCherry,Unkn,HO-Ci,15.1171469316262,NaN
,C09,SYBR,mCherry,Unkn,HO-Ci,14.9483297176866,NaN
,C10,SYBR,mCherry,Unkn,HO-C9,14.6042719381314,NaN
,C11,SYBR,mCherry,Unkn,HO-C9,14.3390214659724,NaN
,C12,SYBR,mCherry,Unkn,HO-C9,14.9979284113227,NaN
,D01,SYBR,citMin,Unkn,FUN12-Ci,14.4988504317135,NaN
,D02,SYBR,citMin,Unkn,FUN12-Ci,14.4851078390247,NaN
,D03,SYBR,citMin,Unkn,FUN12-Ci,15.1166048933516,NaN
,D04,SYBR,cit9,Unkn,FUN12-C9,15.9212391506797,NaN
