,Well,Fluor,Target,Content,Sample,Melt Temp
,A01,SYBR,Cit9,Unkn,Cit9,80.5
,A02,SYBR,Cit9,Unkn,Cit9,80.5
,A03,SYBR,Cit9,Unkn,Cit9,80.5
,A04,SYBR,mCh,Unkn,Cit9,84.5
,A05,SYBR,mCh,Unkn,Cit9,84.5
,A06,SYBR,mCh,Unkn,Cit9,85
,A07,SYBR,CitMax,Unkn,CitMax,83.5
,A08,SYBR,CitMax,Unkn,CitMax,83.5
,A09,SYBR,CitMax,Unkn,CitMax,83.5
,A10,SYBR,mCh,Unkn,CitMax,84.5
,A11,SYBR,mCh,Unkn,CitMax,84.5
,A12,SYBR,mCh,Unkn,CitMax,85
,B01,SYBR,Cit9,Unkn,Cit9,80.5
,B02,SYBR,Cit9,Unkn,Cit9,80.5
,B03,SYBR,Cit9,Unkn,Cit9,80.5
,B04,SYBR,mCh,Unkn,Cit9,84.5
,B05,SYBR,mCh,Unkn,Cit9,84.5
,B06,SYBR,mCh,Unkn,Cit9,84.5
,B07,SYBR,CitMax,Unkn,CitMax,83.5
,B08,SYBR,CitMax,Unkn,CitMax,83.5
,B09,SYBR,CitMax,Unkn,CitMax,83.5
,B10,SYBR,mCh,Unkn,CitMax,84.5
,B11,SYBR,mCh,Unkn,CitMax,84.5
,B12,SYBR,mCh,Unkn,CitMax,85
,C01,SYBR,Cit9,Unkn,Cit9,80.5
,C02,SYBR,Cit9,Unkn,Cit9,80.5
,C03,SYBR,Cit9,Unkn,Cit9,80.5
,C04,SYBR,mCh,Unkn,Cit9,84.5
,C05,SYBR,mCh,Unkn,Cit9,84.5
,C06,SYBR,mCh,Unkn,Cit9,84.5
,C07,SYBR,CitMax,Unkn,CitMax,83.5
,C08,SYBR,CitMax,Unkn,CitMax,83.5
,C09,SYBR,CitMax,Unkn,CitMax,83.5
,C10,SYBR,mCh,Unkn,CitMax,84.5
,C11,SYBR,mCh,Unkn,CitMax,84.5
,C12,SYBR,mCh,Unkn,CitMax,85
,D01,SYBR,Cit9,Unkn,J-Cit9,80.5
,D02,SYBR,Cit9,Unkn,J-Cit9,80.5
,D03,SYBR,Cit9,Unkn,J-Cit9,80.5
,D04,SYBR,mCh,Unkn,J-Cit9,84.5
,D05,SYBR,mCh,Unkn,J-Cit9,84.5
,D06,SYBR,mCh,Unkn,J-Cit9,84.5
,D07,SYBR,CitMax,Unkn,J-CitMax,83.5
,D08,SYBR,CitMax,Unkn,J-CitMax,83.5
,D09,SYBR,CitMax,Unkn,J-CitMax,83.5
,D10,SYBR,mCh,Unkn,J-CitMax,84.5
,D11,SYBR,mCh,Unkn,J-CitMax,85
,D12,SYBR,mCh,Unkn,J-CitMax,85
,E01,SYBR,Cit9,Unkn,J-Cit9,80.5
,E02,SYBR,Cit9,Unkn,J-Cit9,80.5
,E03,SYBR,Cit9,Unkn,J-Cit9,80.5
,E04,SYBR,mCh,Unkn,J-Cit9,84.5
,E05,SYBR,mCh,Unkn,J-Cit9,84.5
,E06,SYBR,mCh,Unkn,J-Cit9,84.5
,E07,SYBR,CitMax,Unkn,J-CitMax,83.5
,E08,SYBR,CitMax,Unkn,J-CitMax,83.5
,E09,SYBR,CitMax,Unkn,J-CitMax,83.5
,E10,SYBR,mCh,Unkn,J-CitMax,84.5
,E11,SYBR,mCh,Unkn,J-CitMax,85
,E12,SYBR,mCh,Unkn,J-CitMax,85
,F01,SYBR,Cit9,Unkn,J-Cit9,80.5
,F02,SYBR,Cit9,Unkn,J-Cit9,80.5
,F03,SYBR,Cit9,Unkn,J-Cit9,80.5
,F04,SYBR,mCh,Unkn,J-Cit9,84.5
,F05,SYBR,mCh,Unkn,J-Cit9,84.5
,F06,SYBR,mCh,Unkn,J-Cit9,84.5
,F07,SYBR,CitMax,Unkn,J-CitMax,83.5
,F08,SYBR,CitMax,Unkn,J-CitMax,83.5
,F09,SYBR,CitMax,Unkn,J-CitMax,83.5
,F10,SYBR,mCh,Unkn,J-CitMax,84.5
,F11,SYBR,mCh,Unkn,J-CitMax,84.5
,F12,SYBR,mCh,Unkn,J-CitMax,85
,H01,SYBR,Cit9,NTC,NTC,None
,H02,SYBR,Cit9,NTC,NTC,None
,H03,SYBR,Cit9,NTC,NTC,None
,H04,SYBR,CitMax,NTC,NTC,None
,H05,SYBR,CitMax,NTC,NTC,None
,H06,SYBR,CitMax,NTC,NTC,None
,H07,SYBR,mCh,NTC,NTC,None
,H08,SYBR,mCh,NTC,NTC,None
,H09,SYBR,mCh,NTC,NTC,None
